city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
bern,0.15,flatwise,1.32,1703.41,10.1,1.7,11.08,2.94,8.14,0,0.09,113.75,0,116,136,121,109,127,127,264,159
bern,0.15,flatwise,3.96,1881.4,9.87,1.88,10.64,2.77,7.87,0,0.09,119.39,0,112,130,139,67,135,110,307,211
bern,0.15,flatwise,2.64,1946.64,10.07,1.95,10.42,2.95,7.47,3,0.1,120.89,0,116,133,140,48,127,106,330,145
bern,0.15,flatwise,1.32,2149.46,9.65,2.15,9.98,2.58,7.4,0,0.09,127.85,0,111,137,128,11,122,119,372,287
bern,0.15,flatwise,1.32,2319.23,10.09,2.32,9.48,2.94,6.54,0,0.1,134.15,0,83,136,113,0,117,125,426,330
bern,0.15,flatwise,6.6,2481.97,10.26,2.48,8.86,3.07,5.79,5,0.12,140.8,1,46,126,107,7,111,133,469,363
bern,0.15,flatwise,7.92,2648.65,10.14,2.65,8.37,2.99,5.38,0,0.11,147.04,0,13,119,118,6,106,138,500,425
bern,0.15,flatwise,5.28,2801.64,10.14,2.8,7.99,2.97,5.02,3,0.11,152.27,0,5,115,123,4,78,136,539,460
bern,0.15,flatwise,5.28,2953.36,10.25,2.95,7.66,3.06,4.6,2,0.11,157.22,0,7,109,133,1,48,127,575,492
bern,0.15,flatwise,6.6,3098.14,10.04,3.1,7.44,2.95,4.49,6,0.12,161.72,0,5,103,138,1,17,121,615,524
bern,0.15,flatwise,3.96,3235.71,10.13,3.24,7.04,2.94,4.1,5,0.12,166.51,0,4,78,142,0,9,114,653,554
bern,0.15,flatwise,3.96,615.27,10.41,0.62,25.74,3.19,22.55,92,0.34,54.68,812,1,17,19,0,3,13,135,27
bern,0.15,flatwise,0.0,675.36,10.28,0.68,22.3,3.06,19.24,0,0.09,67.13,812,0,4,15,0,3,25,141,122
bern,0.15,flatwise,0.0,702.8,10.29,0.7,18.98,3.08,15.9,0,0.1,77.71,812,0,3,13,0,2,21,149,135
bern,0.15,flatwise,0.0,727.04,9.99,0.73,15.68,2.83,12.85,0,0.08,88.09,0,0,3,13,812,1,17,154,141
bern,0.15,flatwise,1.32,745.62,10.12,0.75,15.72,2.95,12.77,0,0.09,98.3,0,0,3,25,812,0,4,156,149
bern,0.15,flatwise,0.0,762.07,10.01,0.76,9.19,2.86,6.33,0,0.09,108.63,0,0,2,21,812,0,3,162,154
bern,0.15,flatwise,0.0,777.68,10.24,0.78,17.27,3.06,14.21,0,0.09,60.41,0,812,1,17,0,0,3,167,156
bern,0.15,flatwise,0.0,824.3,9.65,0.82,15.61,2.5,13.11,0,0.08,70.64,0,812,0,4,0,0,3,181,162
bern,0.15,flatwise,1.32,869.08,10.29,0.87,13.96,3.13,10.83,0,0.1,80.74,0,812,0,3,0,0,2,183,167
bern,0.15,flatwise,0.0,913.49,10.0,0.91,12.32,2.89,9.43,0,0.09,90.85,0,0,0,3,0,812,1,184,181
bern,0.15,flatwise,0.0,144.16,10.19,0.14,25.52,3.04,22.48,18,0.19,41.64,721,163,0,2,3,91,0,20,1
bern,0.15,flatwise,0.0,168.53,10.16,0.17,22.11,3.03,19.08,0,0.08,53.71,721,3,0,0,2,252,0,22,19
bern,0.15,flatwise,0.0,183.67,10.01,0.18,19.8,2.97,16.83,0,0.08,61.59,721,3,91,0,1,162,0,22,20
bern,0.15,flatwise,0.0,233.39,10.08,0.23,16.32,3.01,13.31,0,0.09,73.3,0,3,91,0,721,163,0,22,22
bern,0.15,flatwise,0.0,270.4,10.1,0.27,17.65,2.97,14.68,0,0.08,78.27,0,2,252,0,721,3,0,22,22
bern,0.15,flatwise,0.0,367.99,10.19,0.37,11.13,3.05,8.08,0,0.09,89.97,0,1,162,0,721,3,91,22,22
bern,0.15,flatwise,0.0,457.33,10.23,0.46,17.59,3.06,14.53,0,0.09,49.75,0,721,163,0,0,3,91,22,22
bern,0.15,flatwise,0.0,575.3,9.92,0.58,15.39,2.78,12.61,0,0.08,61.44,0,721,3,0,0,2,252,22,22
bern,0.15,flatwise,0.0,687.22,10.08,0.69,13.92,3.0,10.92,0,0.09,72.04,0,721,3,91,0,1,162,22,22
bern,0.15,flatwise,0.0,803.13,9.99,0.8,11.9,2.92,8.98,0,0.09,84.1,0,0,3,91,0,721,163,22,22
bern,0.15,flatwise,0.0,918.79,10.2,0.92,11.15,3.07,8.08,0,0.09,94.27,0,0,2,252,0,721,3,22,22
bern,0.15,flatwise,0.0,1038.47,9.95,1.04,9.45,2.85,6.6,0,0.09,107.0,0,0,1,162,0,721,3,113,22
bern,0.15,flatwise,1.32,1136.41,10.1,1.14,16.41,3.04,13.37,0,0.09,89.09,0,0,721,163,0,0,3,113,22
bern,0.15,flatwise,1.32,1503.2,10.13,1.5,13.99,3.08,10.91,0,0.09,102.2,0,0,721,3,0,0,2,274,113
bern,0.15,flatwise,1.32,1816.29,9.87,1.82,11.67,2.81,8.86,1,0.09,112.78,0,0,721,3,0,0,1,275,111
bern,0.15,flatwise,3.96,2125.47,10.1,2.13,9.37,3.02,6.35,2,0.09,124.64,0,0,7,3,0,0,714,276,272
bern,0.15,flatwise,5.28,2349.14,9.97,2.35,7.23,2.87,4.36,3,0.11,133.19,0,0,4,2,0,0,717,277,270
bern,0.15,flatwise,2.64,2301.03,9.85,2.3,7.17,2.78,4.39,12,0.13,129.9,0,0,8,3,0,1,712,276,55
bern,0.15,flatwise,5.28,2602.95,10.2,2.6,5.77,3.12,2.65,1,0.11,141.47,0,0,6,123,0,1,592,278,269
bern,0.15,flatwise,6.6,2813.53,10.54,2.81,8.4,3.42,4.98,11,0.12,143.09,0,2,3,679,0,0,41,275,255
bern,0.15,flatwise,6.6,2850.34,10.19,2.85,8.29,3.14,5.15,4,0.13,144.29,0,2,3,676,0,0,44,275,103
bern,0.15,flatwise,6.6,3145.47,10.1,3.15,7.52,3.03,4.49,3,0.12,158.4,0,1,0,640,0,1,22,336,262
bern,0.15,flatwise,6.6,3393.64,9.65,3.39,6.83,2.56,4.27,1,0.1,169.61,0,0,0,383,0,2,12,603,268
bern,0.15,flatwise,1.32,2963.16,9.97,2.96,8.03,2.98,5.05,15,0.16,150.25,0,1,4,610,0,1,28,356,13
bern,0.15,flatwise,7.92,3305.19,9.98,3.31,7.08,2.93,4.15,0,0.12,164.56,0,0,1,376,0,2,18,603,35
bern,0.15,flatwise,3.96,2659.13,10.1,2.66,8.69,3.06,5.63,20,0.18,137.08,0,2,13,828,0,4,73,80,18
bern,0.15,flatwise,7.92,2990.17,10.17,2.99,7.92,3.05,4.87,0,0.13,151.75,0,1,7,559,0,2,37,394,48
bern,0.15,flatwise,5.28,3317.97,9.68,3.32,7.02,2.6,4.42,1,0.1,165.39,0,0,6,355,0,3,21,615,80
bern,0.15,flatwise,2.64,2043.31,10.09,2.04,8.31,3.07,5.24,27,0.19,119.24,0,4,68,171,2,9,609,137,44
bern,0.15,flatwise,2.64,2350.43,10.14,2.35,8.08,3.09,4.99,0,0.1,128.35,0,3,32,415,0,9,393,148,79
bern,0.15,flatwise,1.32,2650.43,10.02,2.65,8.05,2.98,5.07,0,0.1,138.83,0,2,15,627,0,7,199,150,137
bern,0.15,flatwise,7.92,2930.1,10.16,2.93,7.92,3.06,4.86,2,0.12,149.7,0,2,9,608,0,4,70,307,146
bern,0.15,flatwise,6.6,3216.92,9.76,3.22,7.26,2.7,4.56,2,0.1,161.63,0,1,9,395,0,2,34,559,145
bern,0.15,flatwise,6.6,3503.49,10.06,3.5,6.53,2.95,3.58,3,0.12,174.05,0,1,7,209,0,1,16,766,297
bern,0.15,flatwise,5.28,2628.95,10.06,2.63,8.24,2.94,5.3,14,0.18,137.27,0,1,14,632,1,6,176,170,90
bern,0.15,flatwise,2.64,2932.32,9.9,2.93,7.92,2.8,5.12,0,0.1,149.56,0,2,6,738,0,5,66,183,138
bern,0.15,flatwise,5.28,2999.96,9.82,3.0,7.79,2.69,5.1,2,0.12,152.19,0,1,5,605,0,6,53,330,56
bern,0.15,flatwise,9.24,3307.92,10.07,3.31,7.0,2.97,4.03,5,0.14,165.84,0,1,7,284,0,3,29,676,166
bern,0.15,flatwise,6.6,3268.75,10.02,3.27,7.14,2.92,4.22,9,0.15,163.24,0,1,7,293,0,3,25,671,31
bern,0.15,flatwise,5.28,3596.91,9.81,3.6,6.29,2.69,3.6,3,0.12,178.0,0,0,7,146,0,2,10,835,348
bern,0.15,flatwise,5.28,2445.22,10.13,2.45,8.58,3.05,5.53,25,0.19,130.0,1,3,17,582,0,9,235,153,89
bern,0.15,flatwise,3.96,2745.58,10.16,2.75,8.22,3.08,5.14,0,0.11,141.93,1,1,13,700,0,7,115,163,135
bern,0.15,flatwise,5.28,3031.66,10.11,3.03,7.71,2.99,4.72,2,0.13,154.12,1,0,12,644,0,5,47,291,150
bern,0.15,flatwise,7.92,3311.32,10.0,3.31,7.06,2.89,4.17,2,0.12,166.06,0,0,9,246,1,3,19,722,155
bern,0.15,flatwise,6.6,3242.42,9.88,3.24,7.16,2.82,4.34,9,0.13,162.73,1,0,9,364,0,3,40,583,131
bern,0.15,flatwise,7.92,3522.33,9.73,3.52,6.45,2.69,3.76,6,0.11,175.17,0,0,8,164,1,1,23,803,337
bern,0.15,flatwise,3.96,3484.09,10.07,3.48,6.56,2.96,3.6,7,0.13,172.36,0,0,7,147,1,1,23,821,147
bern,0.15,flatwise,1.32,3412.39,9.68,3.41,6.7,2.56,4.14,11,0.12,169.83,0,0,5,199,1,2,34,759,168
bern,0.15,flatwise,2.64,3458.8,9.72,3.46,6.58,2.6,3.98,4,0.11,171.47,0,0,5,179,1,2,30,783,156
bern,0.15,flatwise,5.28,3731.8,9.55,3.73,5.85,2.45,3.4,7,0.1,184.72,0,0,2,91,1,1,19,886,568
bern,0.15,flatwise,0.0,2897.2,10.0,2.9,8.06,2.94,5.12,23,0.16,148.41,0,0,20,503,1,3,67,406,28
bern,0.15,flatwise,3.96,3017.67,10.06,3.02,7.72,2.95,4.77,3,0.12,153.1,0,0,17,457,1,3,62,460,16
bern,0.15,flatwise,6.6,3270.02,9.75,3.27,7.06,2.62,4.44,3,0.11,164.0,0,0,10,325,1,2,47,615,137
bern,0.15,flatwise,0.0,2548.32,10.02,2.55,8.66,2.9,5.76,17,0.16,134.08,0,0,33,758,2,7,154,46,15
bern,0.15,flatwise,3.96,2869.08,10.11,2.87,8.12,2.97,5.15,7,0.13,147.41,0,3,21,527,2,2,77,368,27
bern,0.15,flatwise,9.24,3195.48,10.07,3.2,7.21,2.98,4.23,3,0.15,160.58,0,1,11,326,2,3,59,598,41
bern,0.15,flatwise,3.96,2909.33,10.13,2.91,8.0,3.0,5.0,15,0.15,149.18,0,3,21,481,3,3,73,416,37
bern,0.15,flatwise,6.6,3238.98,9.99,3.24,7.14,2.88,4.26,2,0.12,162.41,0,3,11,308,2,2,51,623,83
bern,0.15,flatwise,3.96,3362.21,9.65,3.36,6.84,2.55,4.29,3,0.1,167.8,0,3,9,248,1,2,41,696,182
bern,0.15,flatwise,1.32,2987.52,10.12,2.99,7.79,2.98,4.81,13,0.16,152.81,0,3,19,381,3,2,69,523,47
bern,0.15,flatwise,6.6,3310.76,9.96,3.31,6.98,2.79,4.19,2,0.11,165.04,0,3,11,240,1,2,46,697,70
bern,0.15,flatwise,6.6,3429.76,10.13,3.43,6.63,2.99,3.64,6,0.13,170.77,0,2,9,197,2,2,41,747,221
bern,0.15,flatwise,2.64,3363.96,9.99,3.36,6.79,2.84,3.95,14,0.14,167.28,1,1,10,201,2,2,46,737,81
bern,0.15,flatwise,7.92,3287.24,10.18,3.29,7.0,2.97,4.03,26,0.16,164.79,3,2,15,228,0,1,59,692,144
bern,0.15,flatwise,9.24,2965.43,10.28,2.97,7.72,3.1,4.62,26,0.19,152.14,3,0,17,396,3,5,94,482,55
bern,0.15,flatwise,1.32,1880.53,10.32,1.88,8.72,3.13,5.59,14,0.18,114.05,6,6,132,104,1,18,623,110,10
bern,0.15,flatwise,2.64,2195.07,10.18,2.2,8.83,3.05,5.78,0,0.1,122.62,6,5,80,414,0,13,363,119,68
bern,0.15,flatwise,3.96,2490.84,10.43,2.49,8.56,3.23,5.33,2,0.12,133.05,3,3,44,588,3,9,219,131,107
bern,0.15,flatwise,6.6,2782.41,10.03,2.78,8.13,2.86,5.27,1,0.1,144.55,0,1,18,621,6,6,134,214,119
bern,0.15,flatwise,6.6,3069.38,10.17,3.07,7.45,3.03,4.42,5,0.13,156.52,1,1,12,369,5,5,83,524,124
bern,0.15,flatwise,5.28,3196.84,9.89,3.2,7.17,2.74,4.43,4,0.12,161.18,1,2,9,298,4,5,63,618,105
bern,0.15,flatwise,5.28,3486.26,9.89,3.49,6.52,2.68,3.84,4,0.12,173.76,1,5,9,193,1,3,28,760,360
bern,0.15,flatwise,3.96,3211.25,10.21,3.21,7.19,3.03,4.16,14,0.15,161.48,1,3,10,244,3,5,50,684,50
bern,0.15,flatwise,1.32,2423.71,10.17,2.42,8.85,2.97,5.88,9,0.17,129.74,3,4,41,579,4,10,214,145,56
bern,0.15,flatwise,7.92,2733.64,9.98,2.73,8.2,2.84,5.36,0,0.1,142.55,1,2,23,661,6,8,137,162,121
bern,0.15,flatwise,6.6,3022.45,9.82,3.02,7.6,2.64,4.96,1,0.1,154.67,1,3,15,447,4,3,86,441,143
bern,0.15,flatwise,2.64,2719.93,10.18,2.72,8.34,3.01,5.33,11,0.17,141.55,1,3,24,612,5,8,115,232,12
bern,0.15,flatwise,5.28,3052.13,9.88,3.05,7.57,2.69,4.88,0,0.1,155.18,1,3,15,413,4,3,75,486,50
bern,0.15,flatwise,6.6,3373.44,9.93,3.37,6.79,2.86,3.93,1,0.12,168.89,0,3,9,196,3,5,38,746,229
bern,0.15,flatwise,6.6,3328.15,10.13,3.33,6.92,3.02,3.9,7,0.16,166.07,0,3,11,201,3,5,37,740,78
bern,0.15,flatwise,3.96,2325.15,9.93,2.33,8.7,2.78,5.92,18,0.16,127.02,4,6,59,454,1,13,299,164,87
bern,0.15,flatwise,3.96,2621.07,10.11,2.62,8.45,3.01,5.44,1,0.11,137.87,3,5,30,610,1,10,167,174,136
bern,0.15,flatwise,6.6,2902.96,9.97,2.9,7.85,2.9,4.95,1,0.11,149.68,1,3,19,590,3,7,107,270,164
