city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.17,swp,1.35,1233.4,14.35,1.23,12.38,7.0,5.38,0,45.1,96.35
bern,0.17,swp,2.7,1246.77,14.36,1.25,12.25,7.06,5.19,0,45.53,95.87
bern,0.17,swp,1.35,1276.86,14.59,1.28,12.01,7.32,4.69,0,42.3,95.97
bern,0.17,swp,5.4,1225.72,15.63,1.23,12.55,8.35,4.2,0,41.67,92.5
bern,0.17,swp,1.35,1199.1,15.56,1.2,12.7,8.23,4.47,0,48.03,91.76
bern,0.17,swp,1.35,1320.84,14.39,1.32,11.8,7.14,4.66,0,43.18,96.95
bern,0.17,swp,2.7,1413.53,14.34,1.41,11.18,7.09,4.09,0,45.37,100.55
bern,0.17,swp,2.7,1312.77,16.04,1.31,12.26,8.8,3.46,0,45.02,96.58
bern,0.17,swp,1.35,1396.9,14.61,1.4,11.89,7.38,4.51,0,46.66,99.32
bern,0.17,swp,6.75,1527.49,14.15,1.53,11.42,6.89,4.53,0,41.8,103.46
bern,0.17,swp,2.7,1462.76,15.48,1.46,11.58,8.23,3.35,0,43.67,101.47
bern,0.17,swp,2.7,1564.6,14.1,1.56,11.53,6.87,4.66,0,46.33,101.78
bern,0.17,swp,1.35,1549.01,15.28,1.55,11.81,8.02,3.79,0,41.92,101.5
bern,0.17,swp,2.7,1660.31,14.45,1.66,11.08,7.16,3.92,0,42.22,105.92
bern,0.17,swp,2.7,1710.85,14.69,1.71,10.65,7.4,3.25,0,36.82,108.46
bern,0.17,swp,5.4,1653.15,15.42,1.65,10.94,8.13,2.81,0,41.69,106.74
bern,0.17,swp,1.35,1586.11,15.68,1.59,11.36,8.41,2.95,0,47.0,104.95
bern,0.17,swp,5.4,1561.76,15.08,1.56,11.37,7.8,3.57,0,46.49,103.58
bern,0.17,swp,2.7,1564.58,14.98,1.56,11.28,7.73,3.55,0,46.64,103.74
bern,0.17,swp,4.05,1664.29,14.51,1.66,10.47,7.21,3.26,0,45.66,107.41
bern,0.17,swp,1.35,1759.91,13.71,1.76,10.16,6.53,3.63,0,41.83,109.24
bern,0.17,swp,1.35,1816.79,14.24,1.82,10.18,6.96,3.22,0,41.93,110.96
bern,0.17,swp,6.75,1846.5,14.64,1.85,10.3,7.36,2.94,0,39.37,111.68
bern,0.17,swp,5.4,1650.15,16.41,1.65,11.63,9.14,2.49,0,42.94,105.55
bern,0.17,swp,4.05,1669.46,14.87,1.67,11.16,7.56,3.6,0,43.53,107.51
bern,0.17,swp,6.75,1592.11,15.44,1.59,11.35,8.15,3.2,0,43.05,106.0
bern,0.17,swp,1.35,1596.06,14.94,1.6,10.9,7.69,3.21,0,43.64,106.85
bern,0.17,swp,5.4,1661.87,14.32,1.66,10.97,7.02,3.95,0,41.0,105.52
bern,0.17,swp,2.7,1699.18,14.47,1.7,10.84,7.2,3.64,0,44.46,106.57
bern,0.17,swp,6.75,1744.88,14.27,1.74,10.43,6.95,3.48,0,43.63,108.85
bern,0.17,swp,2.7,1623.81,15.29,1.62,10.85,7.98,2.87,0,46.4,105.32
bern,0.17,swp,6.75,1682.3,14.79,1.68,10.5,7.5,3.0,0,43.49,107.64
bern,0.17,swp,2.7,1604.21,15.54,1.6,10.88,8.25,2.63,0,43.6,105.7
bern,0.17,swp,1.35,1559.9,15.31,1.56,11.63,8.07,3.56,0,44.41,102.83
bern,0.17,swp,2.7,1647.44,14.4,1.65,11.22,7.16,4.06,0,45.09,105.41
bern,0.17,swp,2.7,1709.59,14.85,1.71,10.89,7.6,3.29,0,41.48,107.51
bern,0.17,swp,4.05,1699.03,15.34,1.7,10.93,8.05,2.88,0,40.99,107.47
bern,0.17,swp,5.4,1558.89,16.17,1.56,11.69,8.89,2.8,0,38.13,102.35
bern,0.17,swp,4.05,1699.56,14.15,1.7,10.85,6.89,3.96,0,47.47,107.26
bern,0.17,swp,6.75,1653.33,15.48,1.65,11.02,8.27,2.75,0,43.85,105.65
bern,0.17,swp,6.75,1731.99,14.72,1.73,10.45,7.44,3.01,0,46.55,108.59
bern,0.17,swp,4.05,1810.39,14.15,1.81,9.91,6.87,3.04,0,47.4,111.72
bern,0.17,swp,6.75,1879.02,13.97,1.88,10.01,6.69,3.32,0,45.16,112.84
bern,0.17,swp,1.35,1499.25,18.22,1.5,13.59,10.96,2.63,0,47.51,98.27
bern,0.17,swp,1.35,1586.01,13.78,1.59,12.44,6.45,5.99,0,44.65,104.18
bern,0.17,swp,2.7,1528.58,15.3,1.53,12.13,7.97,4.16,0,42.17,104.79
bern,0.17,swp,2.7,1571.12,14.64,1.57,11.73,7.37,4.36,0,44.46,108.82
bern,0.17,swp,1.35,1433.19,15.79,1.43,11.45,8.5,2.95,0,44.36,105.72
bern,0.17,swp,1.35,1442.4,15.19,1.44,12.71,7.92,4.79,0,45.4,97.55
bern,0.17,swp,1.35,1540.9,13.43,1.54,11.99,6.14,5.85,0,43.23,100.83
bern,0.17,swp,2.7,1481.76,15.22,1.48,12.11,7.96,4.15,0,40.71,99.94
bern,0.17,swp,2.7,1482.98,14.71,1.48,11.82,7.45,4.37,0,44.52,101.33
bern,0.17,swp,4.05,1282.53,16.56,1.28,12.54,9.28,3.26,0,46.55,95.7
bern,0.17,swp,1.35,1372.98,14.16,1.37,11.58,6.85,4.73,0,46.47,101.24
bern,0.17,swp,1.35,1409.24,14.62,1.41,11.65,7.33,4.32,0,41.49,101.31
bern,0.17,swp,4.05,1309.72,16.08,1.31,12.74,8.78,3.96,0,43.88,95.4
bern,0.17,swp,1.35,1180.78,16.42,1.18,13.36,9.11,4.25,0,43.01,91.18
bern,0.17,swp,2.7,1291.62,14.57,1.29,12.71,7.32,5.39,0,46.06,95.47
