city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.19,flatwise,2.76,1703.41,11.53,1.7,11.08,3.69,7.39,0,5.05,113.75
bern,0.19,flatwise,6.9,1881.4,11.8,1.88,10.64,3.96,6.68,0,4.94,119.39
bern,0.19,flatwise,9.66,2054.08,12.0,2.05,10.08,4.16,5.92,0,5.08,125.1
bern,0.19,flatwise,8.28,2221.46,11.77,2.22,9.78,3.93,5.85,0,5.04,130.19
bern,0.19,flatwise,9.66,2389.78,11.94,2.39,9.24,4.06,5.18,0,5.29,136.89
bern,0.19,flatwise,12.42,2558.37,11.84,2.56,8.54,3.99,4.55,0,5.72,143.71
bern,0.19,flatwise,11.04,2722.28,12.1,2.72,8.18,4.25,3.93,0,6.03,149.68
bern,0.19,flatwise,8.28,2877.36,11.7,2.88,7.84,3.83,4.01,0,5.3,154.94
bern,0.19,flatwise,22.08,2936.54,12.08,2.94,7.88,4.26,3.62,1,6.71,156.27
bern,0.19,flatwise,6.9,3098.06,11.9,3.1,7.56,3.99,3.57,0,5.83,161.54
bern,0.19,flatwise,19.32,3181.9,11.89,3.18,7.31,4.08,3.23,0,6.86,164.55
bern,0.19,flatwise,13.8,3324.31,11.76,3.32,6.69,3.92,2.77,0,6.26,170.51
bern,0.19,flatwise,12.42,3446.95,11.77,3.45,6.27,3.93,2.34,0,5.79,175.35
bern,0.19,flatwise,9.66,3556.9,11.71,3.56,6.05,3.84,2.21,0,6.01,179.24
bern,0.19,flatwise,13.8,3637.26,11.79,3.64,6.04,3.95,2.09,0,6.69,182.17
bern,0.19,flatwise,17.94,3722.73,11.74,3.72,5.92,3.89,2.03,0,6.6,185.79
bern,0.19,flatwise,19.32,3793.77,11.81,3.79,5.74,3.93,1.81,0,5.49,188.85
bern,0.19,flatwise,22.08,3196.49,11.72,3.2,7.94,3.89,4.05,5,9.42,167.21
bern,0.19,flatwise,12.42,3266.29,11.81,3.27,7.44,3.97,3.47,0,5.58,170.73
bern,0.19,flatwise,19.32,3322.29,11.6,3.32,7.1,3.81,3.29,0,4.96,173.49
bern,0.19,flatwise,17.94,3367.84,11.54,3.37,6.8,3.69,3.11,0,4.99,175.72
bern,0.19,flatwise,17.94,3406.93,11.72,3.41,6.71,3.91,2.8,0,5.86,176.66
bern,0.19,flatwise,17.94,3448.31,11.62,3.45,6.47,3.79,2.68,0,5.37,177.84
bern,0.19,flatwise,17.94,3429.04,11.74,3.43,6.8,3.88,2.92,0,5.83,175.71
bern,0.19,flatwise,16.56,3290.6,11.82,3.29,7.3,3.95,3.35,16,6.38,170.69
bern,0.19,flatwise,13.8,3241.83,11.71,3.24,7.4,3.86,3.54,1,6.14,169.15
bern,0.19,flatwise,9.66,2959.83,11.93,2.96,8.22,4.05,4.17,6,6.3,154.93
bern,0.19,flatwise,15.18,3211.92,11.8,3.21,7.22,3.98,3.24,0,5.52,168.59
bern,0.19,flatwise,8.28,3067.54,11.8,3.07,7.61,3.95,3.66,2,5.41,163.95
bern,0.19,flatwise,16.56,3139.66,11.66,3.14,7.36,3.83,3.53,0,4.78,166.5
bern,0.19,flatwise,12.42,2764.32,11.84,2.76,8.8,3.96,4.84,6,8.6,151.82
bern,0.19,flatwise,12.42,2858.52,11.56,2.86,8.47,3.63,4.84,0,5.41,154.71
bern,0.19,flatwise,13.8,2766.31,11.76,2.77,8.92,3.77,5.15,7,5.17,151.14
bern,0.19,flatwise,13.8,2760.67,11.93,2.76,8.6,4.07,4.53,0,6.84,151.56
bern,0.19,flatwise,6.9,2860.74,11.71,2.86,8.17,3.81,4.36,0,5.41,155.51
bern,0.19,flatwise,13.8,2918.05,11.8,2.92,7.85,3.81,4.04,0,4.74,158.03
bern,0.19,flatwise,8.28,3011.7,11.76,3.01,7.72,3.83,3.89,0,5.93,161.0
bern,0.19,flatwise,11.04,3104.16,11.8,3.1,7.38,3.85,3.53,0,5.02,164.41
bern,0.19,flatwise,8.28,3113.48,12.03,3.11,7.57,4.08,3.49,0,6.13,163.81
bern,0.19,flatwise,13.8,2758.18,12.06,2.76,8.86,4.11,4.75,6,6.89,150.31
bern,0.19,flatwise,12.42,2752.48,11.91,2.75,8.83,4.01,4.82,1,5.87,150.1
bern,0.19,flatwise,6.9,2871.92,11.63,2.87,8.15,3.71,4.44,0,4.5,155.52
bern,0.19,flatwise,17.94,2974.79,11.9,2.97,7.72,3.94,3.78,0,5.24,159.6
bern,0.19,flatwise,16.56,2916.04,12.15,2.92,7.83,4.18,3.65,1,7.51,157.55
bern,0.19,flatwise,13.8,2936.33,11.96,2.94,8.0,3.99,4.01,0,6.26,157.62
bern,0.19,flatwise,9.66,3044.61,11.25,3.04,7.71,3.29,4.42,0,4.0,161.25
bern,0.19,flatwise,13.8,3149.57,11.81,3.15,7.45,3.89,3.56,0,4.98,164.93
bern,0.19,flatwise,13.8,3021.56,11.96,3.02,7.74,4.04,3.7,2,7.92,161.02
bern,0.19,flatwise,16.56,3128.91,11.81,3.13,7.38,3.82,3.56,0,5.31,164.7
bern,0.19,flatwise,17.94,3229.69,11.79,3.23,7.14,3.88,3.26,0,5.11,168.16
bern,0.19,flatwise,15.18,3320.94,11.77,3.32,6.84,3.87,2.97,0,5.64,171.79
bern,0.19,flatwise,11.04,2853.0,12.05,2.85,8.66,4.07,4.59,4,8.14,154.32
bern,0.19,flatwise,11.04,2949.96,11.76,2.95,8.24,3.82,4.42,0,5.47,158.05
bern,0.19,flatwise,17.94,2888.22,11.91,2.89,8.3,3.93,4.37,1,5.91,156.08
bern,0.19,flatwise,12.42,2992.27,11.9,2.99,7.81,3.9,3.91,0,6.01,160.46
bern,0.19,flatwise,13.8,3089.14,11.79,3.09,7.52,3.8,3.72,0,4.92,164.18
bern,0.19,flatwise,9.66,3108.11,11.93,3.11,7.27,3.93,3.34,1,6.7,165.07
bern,0.19,flatwise,12.42,3193.55,11.78,3.19,7.28,3.83,3.45,0,5.32,166.73
bern,0.19,flatwise,9.66,2897.19,11.99,2.9,8.32,4.03,4.29,5,6.83,152.06
bern,0.19,flatwise,15.18,3152.7,11.72,3.15,7.42,3.79,3.63,0,5.7,165.28
bern,0.19,flatwise,20.7,3166.25,12.01,3.17,7.41,4.09,3.32,1,6.43,165.89
bern,0.19,flatwise,16.56,3259.37,11.78,3.26,6.97,3.87,3.1,0,5.16,169.99
bern,0.19,flatwise,16.56,3342.26,11.73,3.34,6.7,3.85,2.85,0,5.47,173.07
bern,0.19,flatwise,9.66,3423.58,10.84,3.42,6.5,2.9,3.6,0,3.99,175.91
bern,0.19,flatwise,17.94,2988.95,11.94,2.99,8.33,3.96,4.37,4,8.96,159.34
bern,0.19,flatwise,11.04,2775.6,11.65,2.78,9.17,3.69,5.48,29,4.27,151.4
bern,0.19,flatwise,15.18,2809.81,11.84,2.81,8.88,3.93,4.95,0,5.45,152.95
bern,0.19,flatwise,8.28,2904.05,11.54,2.9,8.23,3.62,4.61,0,4.74,157.47
bern,0.19,flatwise,13.8,2994.42,11.92,2.99,7.75,4.11,3.64,0,5.62,161.24
bern,0.19,flatwise,9.66,3081.06,11.79,3.08,7.4,3.86,3.54,0,4.99,164.57
bern,0.19,flatwise,15.18,3160.18,11.8,3.16,7.17,3.92,3.25,0,5.39,166.53
bern,0.19,flatwise,20.7,2796.76,12.0,2.8,8.71,4.03,4.68,3,8.43,151.71
bern,0.19,flatwise,8.28,2894.03,11.05,2.89,8.27,3.08,5.19,0,4.64,155.65
bern,0.19,flatwise,15.18,2852.48,11.79,2.85,8.49,3.86,4.63,11,5.14,154.27
bern,0.19,flatwise,17.94,2709.82,11.99,2.71,8.87,4.08,4.79,2,6.97,149.64
bern,0.19,flatwise,9.66,2819.19,11.24,2.82,8.36,3.31,5.05,0,4.42,154.36
bern,0.19,flatwise,16.56,2917.11,11.85,2.92,7.86,4.0,3.86,0,5.55,158.57
bern,0.19,flatwise,13.8,2817.76,11.99,2.82,8.48,4.08,4.4,1,7.34,153.97
bern,0.19,flatwise,13.8,2757.89,12.0,2.76,8.64,4.1,4.54,2,5.94,151.35
bern,0.19,flatwise,8.28,2876.25,11.65,2.88,8.23,3.77,4.46,0,5.47,154.93
bern,0.19,flatwise,16.56,2867.97,11.97,2.87,8.27,4.06,4.21,1,6.35,154.53
bern,0.19,flatwise,8.28,2981.05,11.78,2.98,7.64,3.9,3.74,0,5.7,159.37
bern,0.19,flatwise,12.42,3087.33,11.9,3.09,7.2,4.03,3.17,0,5.4,163.35
bern,0.19,flatwise,8.28,2608.28,11.96,2.61,8.88,4.12,4.76,7,6.65,142.93
bern,0.19,flatwise,16.56,2870.98,11.83,2.87,7.94,3.93,4.01,0,5.22,152.15
bern,0.19,flatwise,13.8,3122.9,11.54,3.12,7.27,3.66,3.61,0,4.73,164.6
bern,0.19,flatwise,15.18,3222.97,11.8,3.22,7.07,3.88,3.19,0,6.19,168.29
bern,0.19,flatwise,12.42,3317.64,11.91,3.32,6.91,4.03,2.88,0,6.41,171.53
bern,0.19,flatwise,9.66,3411.92,11.69,3.41,6.68,3.83,2.85,0,5.18,174.74
bern,0.19,flatwise,16.56,3477.01,11.79,3.48,6.48,3.95,2.53,0,5.77,177.18
bern,0.19,flatwise,13.8,3132.86,11.74,3.13,7.71,3.89,3.82,3,8.75,164.63
bern,0.19,flatwise,11.04,3226.61,11.7,3.23,7.22,3.91,3.31,0,5.9,168.62
bern,0.19,flatwise,23.46,3215.01,11.95,3.22,7.35,4.1,3.25,2,7.51,167.76
bern,0.19,flatwise,12.42,3224.21,11.78,3.22,7.24,3.92,3.32,0,6.67,168.56
bern,0.19,flatwise,12.42,3303.31,11.68,3.3,6.95,3.85,3.1,0,5.94,171.59
bern,0.19,flatwise,9.66,3378.37,11.74,3.38,6.58,3.88,2.7,0,6.02,174.5
bern,0.19,flatwise,6.9,3452.19,11.04,3.45,6.53,3.2,3.33,0,4.23,176.47
bern,0.19,flatwise,12.42,3067.12,11.51,3.07,8.3,3.67,4.63,30,5.33,161.38
bern,0.19,flatwise,17.94,3151.88,11.81,3.15,7.86,3.91,3.95,0,5.49,165.04
bern,0.19,flatwise,16.56,3195.08,11.9,3.2,7.51,4.04,3.47,0,6.62,167.37
bern,0.19,flatwise,11.04,3274.37,11.75,3.27,7.03,3.86,3.17,0,5.01,171.0
