city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.19,wsp,6.9,1703.41,9.85,1.7,11.08,2.02,9.06,0,44.76,113.75
bern,0.19,wsp,6.9,1872.89,10.41,1.87,10.68,2.58,8.1,0,48.07,118.96
bern,0.19,wsp,4.14,2051.13,9.96,2.05,10.07,2.1,7.97,0,44.62,125.0
bern,0.19,wsp,4.14,2220.1,9.75,2.22,9.79,1.89,7.9,0,43.98,130.12
bern,0.19,wsp,12.42,2379.4,10.32,2.38,9.28,2.43,6.85,0,47.71,136.42
bern,0.19,wsp,11.04,2544.07,10.4,2.54,8.58,2.52,6.06,0,45.01,143.0
bern,0.19,wsp,9.66,2716.98,9.84,2.72,8.14,1.98,6.16,0,46.76,149.59
bern,0.19,wsp,16.56,2867.19,10.2,2.87,7.87,2.3,5.57,0,43.36,154.4
bern,0.19,wsp,13.8,3028.5,10.17,3.03,7.52,2.25,5.27,0,49.37,159.7
bern,0.19,wsp,22.08,3166.66,10.5,3.17,7.35,2.62,4.73,0,44.28,163.54
bern,0.19,wsp,12.42,3334.86,10.11,3.33,6.73,2.2,4.53,0,44.41,170.17
bern,0.19,wsp,16.56,3473.18,10.23,3.47,6.23,2.31,3.92,0,44.09,175.58
bern,0.19,wsp,26.22,3360.11,10.86,3.36,6.75,2.92,3.83,1,45.82,170.73
bern,0.19,wsp,19.32,3464.14,10.66,3.46,6.43,2.76,3.67,0,39.96,174.92
bern,0.19,wsp,20.7,3455.59,10.67,3.46,6.61,2.77,3.84,0,39.55,175.31
bern,0.19,wsp,16.56,3538.8,10.4,3.54,6.43,2.51,3.92,0,42.67,179.21
bern,0.19,wsp,12.42,3642.06,10.07,3.64,6.15,2.19,3.96,0,45.13,183.42
bern,0.19,wsp,17.94,3730.15,10.19,3.73,5.84,2.26,3.58,0,51.3,187.53
bern,0.19,wsp,16.56,3784.1,10.41,3.78,5.77,2.43,3.34,0,47.56,189.25
bern,0.19,wsp,20.7,3824.36,10.37,3.82,5.61,2.47,3.14,0,45.39,190.93
bern,0.19,wsp,30.36,3757.28,10.93,3.76,5.78,3.05,2.73,0,44.05,187.52
bern,0.19,wsp,16.56,3837.35,10.56,3.84,5.49,2.65,2.84,0,43.43,191.08
bern,0.19,wsp,15.18,3887.36,10.31,3.89,5.37,2.43,2.94,0,43.12,193.65
bern,0.19,wsp,17.94,3878.7,10.58,3.88,5.4,2.7,2.7,0,41.93,192.76
bern,0.19,wsp,17.94,3923.85,10.41,3.92,5.38,2.51,2.87,0,42.12,194.71
bern,0.19,wsp,17.94,3946.91,10.33,3.95,5.31,2.43,2.88,0,48.27,195.59
bern,0.19,wsp,24.84,3747.86,10.66,3.75,5.93,2.76,3.17,1,44.63,187.87
bern,0.19,wsp,24.84,3742.02,10.63,3.74,5.93,2.72,3.21,0,47.66,187.07
bern,0.19,wsp,20.7,3744.69,10.78,3.74,5.88,2.85,3.03,0,45.08,186.93
bern,0.19,wsp,22.08,3826.9,10.48,3.83,5.56,2.5,3.06,0,43.95,190.84
bern,0.19,wsp,22.08,3876.01,10.38,3.88,5.41,2.51,2.9,0,49.32,193.3
bern,0.19,wsp,19.32,3894.93,10.46,3.89,5.37,2.47,2.9,0,41.97,193.91
bern,0.19,wsp,15.18,3912.07,10.34,3.91,5.38,2.41,2.97,0,45.53,194.27
bern,0.19,wsp,20.7,3913.69,10.54,3.91,5.4,2.62,2.78,0,42.2,194.02
bern,0.19,wsp,24.84,3829.21,11.06,3.83,5.63,3.11,2.52,0,42.72,190.12
bern,0.19,wsp,24.84,3751.02,11.15,3.75,5.81,3.2,2.61,0,41.17,186.29
bern,0.19,wsp,22.08,3833.87,10.61,3.83,5.57,2.7,2.87,0,37.14,190.26
bern,0.19,wsp,26.22,3916.41,10.5,3.92,5.37,2.53,2.84,0,46.1,193.74
bern,0.19,wsp,31.74,3841.83,11.23,3.84,5.61,3.23,2.38,0,46.75,190.13
bern,0.19,wsp,16.56,3451.62,10.46,3.45,7.23,2.58,4.65,25,52.8,175.85
bern,0.19,wsp,16.56,3516.66,10.34,3.52,6.8,2.41,4.39,0,47.47,179.34
bern,0.19,wsp,17.94,3564.84,10.28,3.56,6.47,2.32,4.15,0,49.6,182.03
bern,0.19,wsp,27.6,3467.73,10.76,3.47,6.64,2.84,3.8,0,48.56,177.92
bern,0.19,wsp,17.94,3524.49,10.53,3.52,6.5,2.62,3.88,0,47.57,180.1
bern,0.19,wsp,16.56,3263.18,10.68,3.26,7.31,2.73,4.58,3,46.48,170.61
bern,0.19,wsp,17.94,3305.87,10.37,3.31,7.29,2.49,4.8,0,42.85,171.2
bern,0.19,wsp,17.94,3379.99,10.25,3.38,6.81,2.31,4.5,0,45.05,174.77
bern,0.19,wsp,16.56,3443.59,10.13,3.44,6.59,2.18,4.41,0,43.6,177.29
bern,0.19,wsp,13.8,3489.78,10.08,3.49,6.41,2.14,4.27,0,46.73,179.03
bern,0.19,wsp,19.32,3306.25,10.4,3.31,7.15,2.49,4.66,1,46.84,171.67
bern,0.19,wsp,12.42,3367.55,10.31,3.37,6.92,2.35,4.57,0,46.53,174.44
bern,0.19,wsp,17.94,3411.18,10.29,3.41,6.81,2.36,4.45,0,43.19,176.09
