city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.14,wsp,6.2,916.99,10.76,0.92,15.37,3.1,12.27,9,41.72,84.59
bern,0.14,wsp,2.48,633.03,10.81,0.63,18.07,3.12,14.95,15,38.37,70.52
bern,0.14,wsp,0.0,228.82,11.31,0.23,22.55,3.72,18.83,22,43.79,51.44
bern,0.14,wsp,0.0,195.07,10.99,0.2,22.95,3.4,19.55,2,42.74,49.69
bern,0.14,wsp,0.0,246.29,10.69,0.25,20.45,3.02,17.43,0,44.42,57.84
bern,0.14,wsp,0.0,310.82,10.59,0.31,17.99,2.91,15.08,0,46.17,66.24
bern,0.14,wsp,1.24,383.61,10.49,0.38,15.74,2.79,12.95,0,46.27,74.55
bern,0.14,wsp,2.48,299.15,11.25,0.3,18.77,3.53,15.24,10,47.36,64.84
bern,0.14,wsp,0.0,306.23,10.74,0.31,18.49,3.06,15.43,3,50.09,64.93
bern,0.14,wsp,0.0,162.65,11.08,0.16,22.81,3.39,19.42,6,41.52,49.6
bern,0.14,wsp,0.0,177.38,10.66,0.18,21.57,3.03,18.54,2,45.05,53.67
bern,0.14,wsp,2.48,205.73,11.0,0.21,20.03,3.36,16.67,2,43.11,58.37
bern,0.14,wsp,0.0,221.91,10.59,0.22,19.25,2.9,16.35,1,45.24,60.59
bern,0.14,wsp,0.0,239.51,11.06,0.24,18.65,3.36,15.29,1,49.2,62.7
bern,0.14,wsp,0.0,299.25,10.61,0.3,16.74,2.89,13.85,0,51.66,69.84
bern,0.14,wsp,0.0,366.64,10.91,0.37,15.1,3.17,11.93,0,48.13,75.5
bern,0.14,wsp,1.24,443.11,10.71,0.44,14.4,2.99,11.41,0,46.65,75.0
bern,0.14,wsp,3.72,502.76,10.69,0.5,14.55,2.98,11.57,3,45.76,72.04
bern,0.14,wsp,2.48,495.29,10.67,0.5,15.28,3.02,12.26,5,49.89,71.15
bern,0.14,wsp,3.72,587.35,10.66,0.59,14.78,3.0,11.78,5,44.51,73.91
bern,0.14,wsp,2.48,690.96,10.35,0.69,14.13,2.66,11.47,7,49.23,78.49
bern,0.14,wsp,4.96,765.64,11.52,0.77,14.62,3.84,10.78,48,49.16,80.17
bern,0.14,wsp,1.24,488.45,10.64,0.49,17.05,2.98,14.07,12,48.57,69.83
bern,0.14,wsp,0.0,255.36,11.21,0.26,20.2,3.55,16.65,13,49.98,56.9
bern,0.14,wsp,0.0,310.12,10.56,0.31,18.71,2.9,15.81,1,44.53,61.81
bern,0.14,wsp,0.0,370.62,10.7,0.37,17.31,3.04,14.27,2,45.86,66.71
bern,0.14,wsp,1.24,426.71,11.13,0.43,16.17,3.5,12.67,6,41.18,71.22
bern,0.14,wsp,2.48,512.77,10.85,0.51,15.24,3.18,12.06,6,41.8,76.71
bern,0.14,wsp,4.96,599.32,11.06,0.6,14.16,3.42,10.74,7,40.39,80.59
bern,0.14,wsp,2.48,635.36,10.96,0.64,14.63,3.29,11.34,9,44.84,77.55
bern,0.14,wsp,3.72,657.78,11.31,0.66,15.84,3.63,12.21,33,42.99,73.83
bern,0.14,wsp,3.72,624.33,10.76,0.62,16.07,3.06,13.01,13,52.18,73.24
bern,0.14,wsp,2.48,592.31,10.9,0.59,16.27,3.21,13.06,16,45.9,72.81
bern,0.14,wsp,4.96,653.47,11.18,0.65,16.12,3.5,12.62,27,52.44,74.94
bern,0.14,wsp,1.24,368.76,10.7,0.37,19.35,3.04,16.31,12,46.19,61.16
bern,0.14,wsp,0.0,155.0,11.41,0.15,23.69,3.71,19.98,15,47.79,47.58
bern,0.14,wsp,0.0,150.35,10.66,0.15,23.51,2.96,20.55,4,45.73,47.91
bern,0.14,wsp,0.0,130.65,11.26,0.13,23.77,3.58,20.19,3,46.07,47.04
bern,0.14,wsp,0.0,166.14,10.78,0.17,21.0,3.1,17.9,0,41.16,55.48
bern,0.14,wsp,0.0,206.57,10.73,0.21,18.37,3.01,15.36,1,42.31,64.02
bern,0.14,wsp,0.0,253.19,10.56,0.25,16.3,2.85,13.45,0,44.07,71.37
bern,0.14,wsp,0.0,223.59,10.62,0.22,18.36,2.93,15.43,4,46.75,64.83
bern,0.14,wsp,0.0,227.55,10.5,0.23,18.17,2.84,15.33,2,38.2,65.18
bern,0.14,wsp,1.24,236.21,10.79,0.24,17.85,3.12,14.73,1,36.91,65.83
