city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.16,swp,0.0,34.66,15.25,0.03,28.51,7.38,21.13,6,44.63,34.45
bern,0.16,swp,0.0,40.03,15.4,0.04,26.06,7.46,18.6,3,44.13,41.76
bern,0.16,swp,0.0,34.67,15.19,0.03,27.98,7.24,20.74,2,47.72,36.1
bern,0.16,swp,0.0,34.5,15.15,0.03,27.19,7.29,19.9,3,49.76,38.44
bern,0.16,swp,0.0,38.36,15.07,0.04,25.71,7.15,18.56,2,50.18,43.16
bern,0.16,swp,0.0,40.36,15.17,0.04,25.05,7.27,17.78,2,50.17,45.28
bern,0.16,swp,0.0,37.73,15.05,0.04,26.27,7.15,19.12,3,50.65,41.35
bern,0.16,swp,0.0,33.75,14.0,0.03,27.63,6.12,21.51,7,38.99,37.21
bern,0.16,swp,0.0,33.02,13.63,0.03,27.2,5.74,21.46,4,45.87,38.44
bern,0.16,swp,0.0,33.86,14.34,0.03,26.91,6.4,20.51,3,46.92,39.39
bern,0.16,swp,0.0,36.67,15.26,0.04,25.33,7.32,18.01,3,45.74,44.06
bern,0.16,swp,0.0,33.26,14.6,0.03,26.93,6.69,20.24,7,49.17,39.35
bern,0.16,swp,0.0,34.45,15.2,0.03,26.21,7.32,18.89,3,48.97,41.57
bern,0.16,swp,0.0,33.43,14.27,0.03,26.69,6.36,20.33,4,50.56,39.97
bern,0.16,swp,0.0,30.65,15.21,0.03,27.36,7.25,20.11,7,46.7,37.88
bern,0.16,swp,0.0,34.26,15.32,0.03,25.89,7.39,18.5,1,48.03,42.19
bern,0.16,swp,0.0,31.72,15.29,0.03,27.08,7.39,19.69,4,53.38,38.63
bern,0.16,swp,0.0,30.76,15.24,0.03,27.41,7.29,20.12,5,54.21,37.75
bern,0.16,swp,0.0,27.91,15.07,0.03,28.51,7.08,21.43,5,50.83,34.48
bern,0.16,swp,0.0,27.71,15.7,0.03,28.56,7.75,20.81,2,53.58,34.31
bern,0.16,swp,0.0,33.04,15.02,0.03,26.05,7.04,19.01,2,52.67,41.86
bern,0.16,swp,0.0,35.69,14.46,0.04,24.79,6.5,18.29,2,53.42,45.77
bern,0.16,swp,0.0,41.84,15.33,0.04,22.11,7.4,14.71,2,49.2,54.1
bern,0.16,swp,0.0,32.95,14.55,0.03,26.15,6.62,19.53,5,45.69,42.07
bern,0.16,swp,0.0,31.87,14.9,0.03,26.56,7.01,19.55,7,45.02,40.68
bern,0.16,swp,0.0,27.78,14.9,0.03,28.39,6.95,21.44,8,44.11,34.96
bern,0.16,swp,0.0,27.29,15.16,0.03,28.56,7.19,21.37,2,51.1,34.34
