city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
bern,0.19,flatwise,5.52,1703.41,12.11,1.7,11.08,4.3,6.78,0,6.91,113.75
bern,0.19,flatwise,5.52,1881.4,11.99,1.88,10.64,4.11,6.53,0,6.74,119.39
bern,0.19,flatwise,6.9,2054.08,11.81,2.05,10.08,3.92,6.16,0,5.0,125.1
bern,0.19,flatwise,5.52,2221.46,12.12,2.22,9.78,4.26,5.52,0,6.66,130.19
bern,0.19,flatwise,9.66,2389.78,11.96,2.39,9.24,4.13,5.11,0,6.04,136.89
bern,0.19,flatwise,9.66,2558.37,12.03,2.56,8.54,4.15,4.39,0,5.75,143.71
bern,0.19,flatwise,12.42,2710.36,12.16,2.71,8.23,4.29,3.94,0,7.5,149.21
bern,0.19,flatwise,12.42,2865.53,11.76,2.87,7.88,3.94,3.94,0,6.26,154.5
bern,0.19,flatwise,8.28,3021.16,11.67,3.02,7.55,3.8,3.75,0,6.79,159.49
bern,0.19,flatwise,12.42,3177.74,11.5,3.18,7.3,3.61,3.69,0,6.23,164.41
bern,0.19,flatwise,11.04,3329.5,11.7,3.33,6.77,3.86,2.91,0,6.14,169.98
bern,0.19,flatwise,19.32,3321.28,11.86,3.32,6.78,3.98,2.8,1,8.04,169.9
bern,0.19,flatwise,11.04,3449.84,11.75,3.45,6.38,3.84,2.54,0,6.83,174.95
bern,0.19,flatwise,15.18,3562.86,11.87,3.56,6.09,3.93,2.16,0,7.43,179.37
bern,0.19,flatwise,13.8,3663.12,11.79,3.66,5.88,3.9,1.98,0,8.3,183.54
bern,0.19,flatwise,13.8,3255.73,11.96,3.26,7.62,4.09,3.53,7,10.47,168.55
bern,0.19,flatwise,9.66,3341.4,11.03,3.34,7.18,3.09,4.09,0,5.19,172.48
bern,0.19,flatwise,9.66,3416.81,11.62,3.42,6.88,3.7,3.18,0,6.92,175.79
bern,0.19,flatwise,11.04,3482.89,11.76,3.48,6.54,3.89,2.65,0,6.14,178.78
bern,0.19,flatwise,13.8,3162.85,11.82,3.16,7.73,3.89,3.84,5,9.19,167.06
bern,0.19,flatwise,11.04,3219.19,11.67,3.22,7.16,3.82,3.34,0,7.74,170.06
bern,0.19,flatwise,12.42,2899.79,11.92,2.9,8.47,4.05,4.42,2,10.82,157.01
