net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
9.36,262504,302522,302522,75.63,6.34,7.81,41.02,26.39,474,491,505,338,53.08,688,487,513,504,369
11.17,302522,340283,340283,85.07,6.57,7.89,42.6,26.68,468,504,511,165,53.75,832,495,504,521,518
12.61,340283,378158,378158,94.54,6.58,7.83,44.05,26.52,482,500,510,0,54.48,992,480,508,528,688
14.25,378158,415870,415870,103.97,6.68,7.83,44.0,26.13,487,513,504,0,54.77,1162,491,505,338,832
15.38,415870,453674,453674,113.42,6.66,7.82,44.45,26.29,495,504,521,0,55.58,1300,504,511,165,992
16.62,453674,490699,490699,122.67,6.66,7.81,44.73,26.54,480,508,528,0,55.82,1474,500,510,0,1162
17.92,490699,528567,528567,132.14,6.7,7.8,45.91,26.47,491,505,338,0,55.63,1649,513,504,0,1300
19.81,528567,566810,566810,141.7,6.93,7.81,47.38,26.78,504,511,165,0,56.0,1795,504,521,0,1474
21.13,566810,603433,603433,150.86,6.99,7.8,48.94,26.58,500,510,0,0,56.49,1954,508,528,0,1649
22.99,603433,639790,639790,159.95,7.1,7.84,49.04,26.17,513,504,0,0,56.84,2140,505,338,0,1795
24.43,639790,676460,676460,169.12,7.15,7.84,49.44,26.21,504,521,0,0,57.45,2299,511,165,0,1954
25.5,676460,712713,712713,178.18,7.07,7.85,49.61,26.56,508,528,0,0,57.67,2454,510,0,0,2140
26.66,712713,747102,747102,186.78,7.07,7.81,51.03,26.68,505,338,0,0,57.53,2653,504,0,0,2299
27.8,747102,781790,774047,193.51,7.11,7.82,52.19,27.0,526,157,3,23,57.62,2769,514,6,2,2411
28.2,774047,808584,786346,196.59,7.2,7.85,52.83,26.31,526,14,14,85,57.88,2838,504,13,6,2512
29.06,786346,817867,806931,201.73,7.21,7.84,52.95,26.21,518,28,18,97,58.24,2984,331,13,11,2620
28.86,806931,839014,809480,202.37,7.17,7.84,52.45,26.21,552,34,20,148,58.55,3009,182,24,31,2647
28.76,809480,841159,818198,204.55,7.06,7.82,52.14,26.4,564,41,21,142,58.25,3081,57,24,70,2691
29.51,818198,848720,829582,207.4,7.13,7.85,53.45,27.21,401,34,16,164,58.22,3202,69,36,78,2778
29.34,829582,859231,825419,206.35,7.12,7.84,53.99,26.86,270,48,33,182,58.16,3239,80,36,112,2800
29.41,825419,853922,826777,206.69,7.15,7.85,54.22,25.8,174,54,59,215,58.3,3279,75,42,102,2887
29.83,826777,851455,829068,207.27,7.21,7.85,54.49,26.36,156,60,70,246,58.8,3240,74,35,119,2988
29.23,829068,846757,816426,204.11,7.14,7.82,54.12,26.39,162,63,92,271,58.9,3171,68,34,139,3009
29.51,816426,829714,829070,207.27,7.1,7.82,55.1,26.63,121,50,87,196,58.74,3235,69,56,186,3078
29.51,829070,841172,827414,206.85,7.12,7.82,55.5,27.38,115,46,105,160,58.85,3220,71,71,212,3084
29.31,827414,838654,825878,206.47,7.1,7.81,55.6,25.92,108,42,130,96,58.68,3226,74,91,233,3068
29.79,825878,838144,824124,206.03,7.19,7.83,55.09,25.98,117,61,157,129,58.91,3205,70,90,171,3058
29.49,824124,836015,821378,205.34,7.13,7.84,54.89,26.17,129,75,171,144,59.17,3178,58,95,150,3066
29.54,821378,831934,828901,207.23,7.09,7.81,54.72,26.25,111,89,200,125,59.02,3216,61,105,93,3102
29.25,828901,839253,830808,207.7,7.02,7.8,55.26,26.88,105,91,152,104,58.87,3227,70,132,119,3098
29.35,830808,841753,829517,207.38,7.08,7.83,55.54,26.85,105,96,128,81,58.82,3215,80,156,139,3090
29.54,829517,840775,830846,207.71,7.09,7.77,55.61,26.07,104,105,92,93,58.84,3216,101,171,118,3098
29.18,830846,841632,824076,206.02,7.1,7.81,55.08,26.01,113,116,118,122,58.94,3186,108,146,91,3054
28.9,824076,835824,819911,204.98,7.06,7.83,54.71,26.19,125,131,141,138,59.11,3148,117,125,75,3036
28.78,819911,831731,811962,202.99,7.11,7.83,54.14,26.23,158,153,116,149,58.83,3118,120,96,90,2979
29.09,811962,825102,806592,201.65,7.18,7.84,54.21,26.51,181,142,89,146,58.7,3077,125,117,123,2932
28.91,806592,820564,813818,203.45,7.09,7.83,54.87,26.87,161,122,74,126,58.72,3113,144,132,128,2977
29.0,813818,827460,813381,203.35,7.14,7.85,54.9,26.25,164,99,87,114,58.66,3123,169,111,133,2952
