city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.09,swp,0.0,477.91,21.68,0.48,18.3,13.86,4.44,4,46.35,66.46
geneva,0.09,swp,0.0,465.88,20.99,0.47,17.91,13.24,4.67,0,47.2,67.57
geneva,0.09,swp,0.0,419.66,22.46,0.42,18.52,14.7,3.82,0,45.56,64.33
geneva,0.09,swp,0.0,344.08,24.64,0.34,20.72,16.88,3.84,0,48.45,57.85
geneva,0.09,swp,0.0,306.97,22.52,0.31,20.25,14.76,5.49,0,45.37,59.0
geneva,0.09,swp,0.0,349.63,20.9,0.35,18.97,13.07,5.9,0,79.6,63.58
geneva,0.09,swp,0.0,357.4,21.06,0.36,18.33,13.26,5.07,0,106.49,65.36
geneva,0.09,swp,0.0,364.17,21.07,0.36,18.14,13.22,4.92,0,107.49,67.69
geneva,0.09,swp,0.0,263.92,25.63,0.26,21.32,17.82,3.5,0,105.44,57.08
geneva,0.09,swp,0.0,254.66,22.29,0.25,20.65,14.47,6.18,0,105.71,58.35
geneva,0.09,swp,0.0,276.1,20.73,0.28,19.32,12.93,6.39,0,103.9,62.57
geneva,0.09,swp,0.0,269.34,20.97,0.27,18.53,13.16,5.37,0,110.3,64.34
geneva,0.09,swp,0.0,233.37,22.54,0.23,19.13,14.73,4.4,0,103.06,64.08
geneva,0.09,swp,0.0,251.48,21.64,0.25,18.39,13.86,4.53,0,110.97,65.46
geneva,0.09,swp,0.0,247.23,22.5,0.25,19.0,14.66,4.34,0,93.4,61.31
geneva,0.09,swp,0.0,236.3,22.32,0.24,18.84,14.5,4.34,0,107.27,61.72
geneva,0.09,swp,0.0,238.93,22.15,0.24,18.7,14.33,4.37,0,112.73,61.91
geneva,0.09,swp,0.0,271.3,20.15,0.27,18.07,12.36,5.71,0,106.09,63.95
geneva,0.09,swp,0.0,249.03,22.41,0.25,18.82,14.61,4.21,0,100.03,60.9
geneva,0.09,swp,0.0,235.35,22.87,0.24,18.81,15.09,3.72,0,100.47,61.2
geneva,0.09,swp,0.0,230.92,22.82,0.23,19.08,15.03,4.05,0,110.04,60.97
geneva,0.09,swp,0.0,235.48,22.83,0.24,19.17,15.02,4.15,0,101.64,60.52
geneva,0.09,swp,0.0,225.83,23.48,0.23,19.49,15.63,3.86,0,100.83,58.58
geneva,0.09,swp,0.0,255.02,21.08,0.26,19.0,13.27,5.73,0,103.75,61.05
geneva,0.09,swp,0.0,264.59,22.38,0.26,18.97,14.6,4.37,0,99.39,62.1
geneva,0.09,swp,0.0,249.45,23.72,0.25,20.27,15.88,4.39,0,103.68,58.66
geneva,0.09,swp,0.0,282.59,18.91,0.28,19.09,11.07,8.02,0,104.4,62.24
geneva,0.09,swp,0.0,302.41,21.48,0.3,18.83,13.64,5.19,0,103.31,62.81
geneva,0.09,swp,0.0,315.91,20.37,0.32,18.21,12.53,5.68,0,110.52,65.02
geneva,0.09,swp,0.0,311.72,21.73,0.31,18.52,13.88,4.64,0,108.17,65.12
geneva,0.09,swp,0.0,307.26,21.63,0.31,18.17,13.78,4.39,0,101.45,65.78
