city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.17,flatwise,12.65,1703.41,11.54,1.7,11.08,3.66,7.42,0,2.7,113.75
geneva,0.17,flatwise,12.65,1881.4,11.65,1.88,10.64,3.72,6.92,0,2.81,119.39
geneva,0.17,flatwise,7.59,2054.08,11.8,2.05,10.08,3.86,6.22,0,2.92,125.1
geneva,0.17,flatwise,12.65,2221.46,11.69,2.22,9.78,3.77,6.01,0,3.77,130.19
geneva,0.17,flatwise,10.12,2389.78,11.51,2.39,9.24,3.54,5.7,0,3.61,136.89
geneva,0.17,flatwise,17.71,2558.37,11.99,2.56,8.54,4.1,4.44,0,5.65,143.71
geneva,0.17,flatwise,10.12,2722.28,11.39,2.72,8.18,3.47,4.71,0,3.68,149.68
geneva,0.17,flatwise,12.65,2877.36,11.4,2.88,7.84,3.45,4.39,0,3.3,154.94
geneva,0.17,flatwise,15.18,3032.89,11.75,3.03,7.52,3.79,3.73,0,3.88,159.9
geneva,0.17,flatwise,20.24,3189.37,11.63,3.19,7.27,3.68,3.59,0,3.54,164.77
geneva,0.17,flatwise,17.71,3341.07,11.53,3.34,6.74,3.62,3.12,0,3.69,170.35
geneva,0.17,flatwise,20.24,3478.28,11.49,3.48,6.22,3.61,2.61,0,3.56,175.86
geneva,0.17,flatwise,10.12,3596.17,11.48,3.6,5.89,3.53,2.36,0,3.56,180.41
geneva,0.17,flatwise,12.65,3701.26,11.73,3.7,5.69,3.79,1.9,0,4.82,184.45
geneva,0.17,flatwise,10.12,3794.11,11.7,3.79,5.58,3.77,1.81,0,3.92,188.15
geneva,0.17,flatwise,43.01,3870.55,11.71,3.87,5.53,3.82,1.71,0,4.39,191.34
geneva,0.17,flatwise,37.95,3932.36,11.51,3.93,5.36,3.66,1.7,0,3.87,194.16
geneva,0.17,flatwise,43.01,3984.02,11.66,3.98,5.21,3.77,1.44,0,5.11,196.54
geneva,0.17,flatwise,20.24,4021.97,11.4,4.02,5.1,3.51,1.59,0,3.5,198.3
geneva,0.17,flatwise,15.18,4045.47,11.46,4.05,5.03,3.53,1.5,0,7.6,199.4
geneva,0.17,flatwise,20.24,4055.66,11.46,4.06,5.0,3.58,1.42,0,9.49,200.0
geneva,0.17,flatwise,27.83,4055.66,11.58,4.06,5.0,3.63,1.37,0,12.65,200.0
geneva,0.17,flatwise,27.83,4055.66,11.55,4.06,5.0,3.66,1.34,0,10.29,200.0
geneva,0.17,flatwise,40.48,4055.66,11.55,4.06,5.0,3.63,1.37,0,8.41,200.0
geneva,0.17,flatwise,17.71,4055.66,11.59,4.06,5.0,3.66,1.34,0,9.38,200.0
geneva,0.17,flatwise,17.71,4055.66,11.46,4.06,5.0,3.56,1.44,0,8.97,200.0
geneva,0.17,flatwise,30.36,4055.66,11.4,4.06,5.0,3.53,1.47,0,8.63,200.0
geneva,0.17,flatwise,32.89,4055.66,11.4,4.06,5.0,3.55,1.45,0,9.28,200.0
geneva,0.17,flatwise,20.24,4055.66,11.29,4.06,5.0,3.48,1.52,0,8.19,200.0
geneva,0.17,flatwise,25.3,4055.66,11.46,4.06,5.0,3.64,1.36,0,8.78,200.0
geneva,0.17,flatwise,25.3,4055.66,11.5,4.06,5.0,3.65,1.35,0,11.05,200.0
geneva,0.17,flatwise,15.18,4055.66,11.2,4.06,5.0,3.38,1.62,0,7.73,200.0
geneva,0.17,flatwise,32.89,4055.66,11.43,4.06,5.0,3.64,1.36,0,9.56,200.0
geneva,0.17,flatwise,25.3,4055.66,11.31,4.06,5.0,3.54,1.46,0,10.22,200.0
