city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps
geneva,0.17,wsp,7.59,1703.41,8.85,1.7,11.08,1.05,10.03,0,67.34,113.75
geneva,0.17,wsp,10.12,1881.4,9.23,1.88,10.64,1.37,9.27,0,66.28,119.39
geneva,0.17,wsp,22.77,2054.08,9.55,2.05,10.08,1.66,8.42,0,65.7,125.1
geneva,0.17,wsp,7.59,2221.46,8.9,2.22,9.78,0.98,8.8,0,127.46,130.19
geneva,0.17,wsp,25.3,2389.78,9.3,2.39,9.24,1.38,7.86,0,149.89,136.89
geneva,0.17,wsp,20.24,2558.37,9.36,2.56,8.54,1.43,7.11,0,152.49,143.71
geneva,0.17,wsp,17.71,2722.28,9.39,2.72,8.18,1.52,6.66,0,152.41,149.68
geneva,0.17,wsp,27.83,2877.36,9.41,2.88,7.84,1.5,6.34,0,148.64,154.94
geneva,0.17,wsp,35.42,3032.89,9.76,3.03,7.52,1.9,5.62,0,143.28,159.9
geneva,0.17,wsp,37.95,3189.37,9.5,3.19,7.27,1.59,5.68,0,154.59,164.77
geneva,0.17,wsp,30.36,3341.07,9.4,3.34,6.74,1.52,5.22,0,145.5,170.35
geneva,0.17,wsp,43.01,3478.28,9.63,3.48,6.22,1.75,4.47,0,146.69,175.86
geneva,0.17,wsp,40.48,3596.17,9.5,3.6,5.89,1.61,4.28,0,156.35,180.41
geneva,0.17,wsp,32.89,3701.26,9.49,3.7,5.69,1.64,4.05,0,151.94,184.45
geneva,0.17,wsp,32.89,3794.11,9.5,3.79,5.58,1.61,3.97,0,150.0,188.15
geneva,0.17,wsp,35.42,3870.55,9.51,3.87,5.53,1.66,3.87,0,151.76,191.34
geneva,0.17,wsp,43.01,3932.36,9.59,3.93,5.36,1.76,3.6,0,153.36,194.16
geneva,0.17,wsp,35.42,3984.02,9.41,3.98,5.21,1.59,3.62,0,161.15,196.54
geneva,0.17,wsp,30.36,4021.97,9.57,4.02,5.1,1.6,3.5,0,149.68,198.3
geneva,0.17,wsp,30.36,4045.47,9.54,4.05,5.03,1.69,3.34,0,152.77,199.4
geneva,0.17,wsp,32.89,4055.66,9.32,4.06,5.0,1.37,3.63,0,151.91,200.0
