net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
5.54,268966,312109,303431,75.86,3.2,7.83,41.1,26.54,458,482,476,387,53.05,716,457,512,512,336
6.11,303431,343748,330904,82.73,3.2,7.85,42.27,26.34,425,456,494,281,53.53,840,471,526,507,473
6.65,330904,370510,358343,89.59,3.23,7.86,42.59,26.25,449,483,472,258,54.21,954,442,463,479,592
7.04,358343,397590,380275,95.07,3.25,7.88,42.65,26.18,431,482,466,306,54.64,1061,456,438,360,690
7.38,380275,419074,398649,99.66,3.28,7.89,42.22,26.16,439,473,459,371,54.6,1140,434,433,251,772
7.74,398649,436972,417382,104.35,3.29,7.88,42.9,26.32,413,424,434,395,54.73,1245,448,418,223,847
8.09,417382,457359,433620,108.41,3.31,7.88,43.48,26.34,427,381,312,473,54.82,1334,420,407,246,914
8.31,433620,473390,448010,112.0,3.29,7.86,43.85,26.11,406,371,231,534,54.98,1410,410,378,260,991
8.66,448010,486915,461262,115.32,3.31,7.87,43.86,26.22,418,360,208,587,55.3,1469,377,322,259,1060
8.83,461262,499672,470388,117.6,3.31,7.88,44.31,26.28,385,329,199,610,55.4,1563,343,242,329,1118
9.05,470388,509089,480897,120.22,3.3,7.87,44.61,26.26,368,305,204,589,55.22,1616,334,205,379,1148
9.18,480897,519659,492577,123.14,3.28,7.83,45.32,26.29,345,282,205,567,55.56,1669,324,175,433,1258
9.36,492577,527894,502145,125.54,3.32,7.86,45.88,26.33,326,223,252,545,55.79,1735,304,173,442,1315
9.45,502145,537438,509710,127.43,3.29,7.83,45.76,26.05,319,174,292,572,55.88,1781,291,162,409,1355
9.49,509710,544390,515137,128.78,3.32,7.84,45.68,26.04,299,143,306,632,56.02,1818,268,175,359,1401
9.53,515137,548685,517956,129.49,3.31,7.84,45.63,26.1,286,146,297,671,56.15,1852,210,199,339,1424
9.56,517956,551656,522906,130.73,3.32,7.82,45.8,26.23,285,146,266,683,56.11,1884,166,215,355,1460
