net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
9.67,263156,303369,303369,75.84,5.56,10.09,41.11,26.57,508,472,473,358,53.14,663,498,547,481,363
11.25,303369,340991,340991,85.25,5.55,10.08,42.79,26.75,496,477,488,152,53.63,829,488,549,521,513
12.97,340991,379736,379736,94.93,5.62,10.15,44.24,26.35,495,503,442,0,54.31,1023,450,526,561,663
14.49,379736,419681,419681,104.92,5.63,10.16,43.99,26.16,498,547,481,0,54.98,1171,472,473,358,829
15.49,419681,458054,458054,114.51,5.59,10.13,44.23,26.24,488,549,521,0,55.71,1325,477,488,152,1023
17.35,458054,494725,494725,123.68,5.6,10.12,44.52,26.55,450,526,561,0,55.73,1518,503,442,0,1171
18.63,494725,533624,533624,133.41,5.54,10.07,46.21,26.66,472,473,358,0,55.66,1669,547,481,0,1325
20.33,533624,571318,571318,142.83,5.57,10.1,47.8,26.8,477,488,152,0,55.93,1813,549,521,0,1518
21.5,571318,606486,606486,151.62,5.53,10.06,49.43,26.47,503,442,0,0,56.53,1968,526,561,0,1669
22.81,606486,642566,642566,160.64,5.53,10.06,49.12,26.12,547,481,0,0,57.07,2141,473,358,0,1813
24.01,642566,679034,679034,169.76,5.56,10.09,49.13,26.04,549,521,0,0,57.56,2290,488,152,0,1968
25.6,679034,714194,714194,178.55,5.6,10.13,49.27,26.65,526,561,0,0,57.71,2471,442,0,0,2141
27.11,714194,749005,749005,187.25,5.6,10.13,51.14,26.95,473,358,0,0,57.49,2688,481,0,0,2290
27.71,749005,785763,785763,196.44,5.52,10.05,52.62,27.16,488,152,0,0,57.48,2839,521,0,0,2471
28.59,785763,819354,801151,200.29,5.58,10.11,53.87,26.47,449,17,12,36,57.91,2917,550,11,8,2601
29.46,801151,831361,816370,204.09,5.56,10.09,53.54,26.1,483,26,15,80,58.42,3027,351,9,9,2684
29.62,816370,847389,822513,205.63,5.64,10.17,52.82,25.88,528,40,20,123,58.64,3077,169,22,21,2737
29.64,822513,852288,832140,208.03,5.61,10.14,52.61,26.4,558,33,27,127,58.61,3112,71,34,38,2793
30.55,832140,859239,850358,212.59,5.57,10.1,54.03,27.35,399,38,25,111,58.49,3272,65,33,57,2918
29.96,850358,876175,845667,211.42,5.54,10.07,54.67,27.03,229,47,28,152,58.22,3352,67,35,90,2905
29.82,845667,873590,834814,208.7,5.55,10.08,54.39,25.85,162,71,46,211,58.37,3316,60,38,96,2925
