city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
zurich,0.08,flatwise,0.0,48.8,14.11,0.05,24.76,6.59,18.17,1,0.49,45.66,959,8,10,0,13,6,3,1,0
zurich,0.08,flatwise,0.0,49.43,14.26,0.05,24.93,6.8,18.13,2,0.57,45.18,894,7,7,0,79,8,4,1,0
zurich,0.08,flatwise,0.0,42.52,13.87,0.04,26.7,6.38,20.32,4,0.58,40.03,848,9,5,1,128,6,3,0,0
zurich,0.08,flatwise,0.0,34.7,14.41,0.03,27.97,6.8,21.17,5,0.62,36.22,912,9,3,1,70,5,0,0,0
zurich,0.08,flatwise,0.0,34.57,13.98,0.03,27.79,6.36,21.43,4,0.57,36.67,938,10,2,0,45,4,0,1,0
zurich,0.08,flatwise,0.0,29.21,14.51,0.03,29.1,6.88,22.22,6,0.61,32.73,974,5,0,1,19,1,0,0,0
zurich,0.08,flatwise,0.0,37.53,13.89,0.04,25.12,6.32,18.8,0,0.48,44.59,946,6,0,1,45,2,0,0,0
zurich,0.08,flatwise,0.0,40.0,13.92,0.04,23.94,6.36,17.58,1,0.5,48.13,917,9,0,1,71,2,0,0,0
zurich,0.08,flatwise,0.0,41.98,14.26,0.04,23.11,6.74,16.37,1,0.54,50.77,841,11,0,1,145,2,0,0,0
zurich,0.08,flatwise,0.0,42.47,14.21,0.04,22.96,6.62,16.34,2,0.57,51.51,706,14,0,1,277,2,0,0,0
zurich,0.08,flatwise,0.0,40.4,14.91,0.04,22.97,7.37,15.6,10,0.87,52.33,604,16,1,0,374,5,0,0,0
zurich,0.08,flatwise,0.0,33.98,13.43,0.03,25.93,5.86,20.07,9,0.82,42.58,794,15,1,0,187,3,0,0,0
zurich,0.08,flatwise,0.0,29.28,13.86,0.03,27.89,6.36,21.53,7,0.7,36.31,913,10,0,0,75,2,0,0,0
zurich,0.08,flatwise,0.0,30.14,13.49,0.03,27.34,6.01,21.33,3,0.56,37.9,926,9,0,0,63,2,0,0,0
zurich,0.08,flatwise,0.0,32.28,14.14,0.03,26.3,6.62,19.68,2,0.57,41.05,913,11,0,0,75,1,0,0,0
zurich,0.08,flatwise,0.0,30.99,14.54,0.03,27.01,7.05,19.96,4,0.62,38.77,901,13,0,0,85,1,0,0,0
zurich,0.08,flatwise,0.0,30.68,13.99,0.03,27.16,6.51,20.65,3,0.54,38.52,913,12,0,0,75,0,0,0,0
zurich,0.08,flatwise,0.0,38.58,14.24,0.04,23.43,6.79,16.64,1,0.58,49.76,821,16,0,0,160,3,0,0,0
