scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg3,1.48,67537,77660,77313,77.31,4.58,3.26,7.61,41.88,26.5,115,114,113,82,53.2,180,133,123,140,91
scenario 1,alg3,1.6,77313,87206,86588,86.59,4.12,3.28,7.64,43.17,26.58,116,119,123,41,54.18,216,133,117,135,133
scenario 1,alg3,1.72,86588,96378,96008,96.01,4.01,3.29,7.65,43.16,26.17,130,125,141,1,54.35,254,118,110,121,172
scenario 1,alg3,1.85,96008,105738,105382,105.38,3.93,3.28,7.64,43.59,26.23,133,123,139,0,54.93,295,114,113,83,208
scenario 1,alg3,1.99,105382,115194,114567,114.57,3.86,3.29,7.64,44.31,26.68,133,118,135,1,55.44,331,119,121,42,244
scenario 1,alg3,2.11,114567,124407,123698,123.7,3.84,3.29,7.64,45.08,26.38,119,110,121,0,55.14,382,126,140,2,283
scenario 1,alg3,2.24,123698,133863,132909,132.91,3.83,3.3,7.64,46.42,26.58,117,113,83,0,55.46,424,124,137,2,313
scenario 1,alg3,2.41,132909,143555,142395,142.4,3.86,3.31,7.66,47.78,26.73,121,120,43,0,56.13,461,118,134,3,362
scenario 1,alg3,2.55,142395,152460,150901,150.9,3.86,3.32,7.67,48.15,26.24,125,138,7,0,56.26,498,111,118,3,400
scenario 1,alg3,2.69,150901,160731,158828,158.83,3.82,3.3,7.65,48.59,26.26,126,136,4,0,56.69,534,116,82,2,431
scenario 1,alg3,2.78,158828,168776,167353,167.35,3.78,3.28,7.62,49.21,26.65,123,134,5,0,57.22,570,121,47,0,476
scenario 1,alg3,2.94,167353,176803,174870,174.87,3.82,3.32,7.68,49.73,26.45,113,120,5,0,57.0,611,142,8,1,504
scenario 1,alg3,3.1,174870,184627,182803,182.8,3.83,3.33,7.68,50.86,26.76,120,84,3,0,57.15,648,136,7,2,540
scenario 1,alg3,3.16,182803,192454,190055,190.06,3.79,3.27,7.63,52.22,26.78,122,49,1,0,57.51,681,137,7,3,574
scenario 1,alg3,3.3,190055,199812,197538,197.54,3.82,3.29,7.63,52.54,26.25,146,14,3,0,57.66,711,119,6,1,612
scenario 1,alg3,3.35,197538,206448,203894,203.89,3.78,3.23,7.57,53.0,26.29,142,12,4,0,58.01,751,87,4,0,642
scenario 1,alg3,3.46,203894,213010,211231,211.23,3.8,3.26,7.6,53.54,26.73,139,10,3,0,58.34,792,54,2,0,676
scenario 1,alg3,3.53,211231,220419,218416,218.42,3.75,3.24,7.59,53.91,26.47,125,6,4,0,58.19,846,17,2,0,714
