scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg1,2.4,67537,77660,77660,77.66,6.14,3.28,7.63,41.98,26.51,114,114,113,82,53.32,181,134,123,139,94
scenario 1,alg1,2.7,77660,87455,87455,87.45,6.13,3.29,7.64,43.22,26.55,116,118,126,40,54.33,216,136,116,132,145
scenario 1,alg1,2.55,87455,96658,96658,96.66,5.38,3.3,7.65,43.31,26.16,130,123,142,0,54.51,255,119,110,121,181
scenario 1,alg1,2.98,96658,105983,105983,105.98,5.56,3.29,7.64,43.71,26.32,134,123,139,0,55.11,295,114,113,82,216
scenario 1,alg1,3.36,105983,115468,115468,115.47,5.85,3.25,7.6,44.41,26.58,136,116,132,0,55.52,332,118,126,40,255
scenario 1,alg1,3.75,115468,124791,124791,124.79,5.94,3.24,7.59,45.22,26.43,119,110,121,0,55.34,385,123,142,0,295
scenario 1,alg1,4.11,124791,134491,134491,134.49,6.17,3.25,7.6,46.77,26.63,114,113,82,0,55.78,429,123,139,0,332
scenario 1,alg1,4.32,134491,144423,144423,144.42,5.99,3.26,7.6,47.9,26.63,118,126,40,0,56.34,468,116,132,0,385
scenario 1,alg1,4.62,144423,153557,153557,153.56,6.04,3.21,7.56,48.54,26.18,123,142,0,0,56.6,504,110,121,0,429
scenario 1,alg1,5.1,153557,162192,162192,162.19,6.26,3.22,7.58,49.13,26.46,123,139,0,0,57.18,543,113,82,0,468
scenario 1,alg1,4.79,162192,170750,170750,170.75,5.58,3.17,7.53,49.79,26.54,116,132,0,0,57.45,586,126,40,0,504
scenario 1,alg1,5.87,170750,179453,179453,179.45,6.51,3.22,7.58,50.21,26.36,110,121,0,0,57.37,627,142,0,0,543
scenario 1,alg1,5.79,179453,187880,187880,187.88,6.1,3.21,7.57,51.67,26.78,113,82,0,0,57.69,666,139,0,0,586
scenario 1,alg1,6.15,187880,196128,196128,196.13,6.24,3.23,7.59,52.8,26.96,126,40,0,0,57.94,702,132,0,0,627
scenario 1,alg1,6.18,196128,204152,204152,204.15,5.99,3.21,7.57,53.51,26.12,142,0,0,0,58.04,737,121,0,0,666
scenario 1,alg1,6.77,204152,211431,211431,211.43,6.29,3.24,7.59,54.09,26.48,139,0,0,0,58.54,779,82,0,0,702
scenario 1,alg1,6.59,211431,218766,218766,218.77,5.99,3.23,7.58,54.59,26.61,132,0,0,0,58.84,828,40,0,0,737
scenario 1,alg1,6.87,218766,226391,226391,226.39,6.03,3.23,7.59,54.82,26.28,121,0,0,0,58.75,879,0,0,0,779
scenario 1,alg1,7.93,226391,233397,233397,233.4,6.76,3.25,7.61,56.36,27.56,82,0,0,0,58.93,918,0,0,0,828
scenario 1,alg1,7.24,233397,239252,239252,239.25,6.02,3.25,7.61,57.91,30.0,40,0,0,0,59.07,960,0,0,0,879
scenario 1,alg1,6.96,239252,243940,243940,243.94,5.72,3.25,7.61,59.1,0.0,0,0,0,0,59.1,1000,0,0,0,918
scenario 1,alg1,7.2,243940,248000,248000,248.0,5.81,3.25,7.61,59.6,0.0,0,0,0,0,59.6,1000,0,0,0,960
